Country,work_year,experience_level,employment_type,job_title,salary_in_usd,remote_ratio,company_size,Cost of Living Index,Rent Index,Local Purchasing Power Index,Cost of Living Plus Rent Index,GDP,log_salary,experience_numeric,salary_k,adjusted_salary,rent_burden_ratio,gdp_to_power_ratio,role_category,role_numeric,remote_Onsite,remote_Remote,company_size_num,country_France,country_Germany,country_Greece,country_India,country_Japan,country_Netherlands,country_Other,country_Spain,country_United Kingdom,country_United States,exp_x_role,exp_x_remote,size_x_gdp
Italy,2021,Mid,FT,Machine Learning Engineer,51064,50,L,56.2,19.2,78.3,38.5,36852.5425414951,10.8408546100122,2,51.1,908.61,0.499,470.658,AI,4,False,False,3,False,False,False,False,False,False,True,False,False,False,8,1.0,110557.6276244853
United States,2022,Senior,FT,Data Engineer,135000,100,M,70.4,41.7,142.3,56.6,77860.9112908848,11.813037464800539,3,135.0,1917.61,0.737,547.16,Engineering,2,False,True,2,False,False,False,False,False,False,False,False,False,True,6,3.0,155721.8225817696
United States,2022,Senior,FT,Data Analyst,155000,100,M,70.4,41.7,142.3,56.6,77860.9112908848,11.951186847493476,3,155.0,2201.7,0.737,547.16,Analytics,3,False,True,2,False,False,False,False,False,False,False,False,False,True,9,3.0,155721.8225817696
United States,2022,Senior,FT,Data Analyst,120600,100,M,70.4,41.7,142.3,56.6,77860.9112908848,11.700242855114809,3,120.6,1713.07,0.737,547.16,Analytics,3,False,True,2,False,False,False,False,False,False,False,False,False,True,9,3.0,155721.8225817696
United States,2022,Mid,FT,Data Scientist,130000,0,M,70.4,41.7,142.3,56.6,77860.9112908848,11.775297421715827,2,130.0,1846.59,0.737,547.16,AI,4,True,False,2,False,False,False,False,False,False,False,False,False,True,8,0.0,155721.8225817696
United States,2022,Mid,FT,Data Scientist,90000,0,M,70.4,41.7,142.3,56.6,77860.9112908848,11.407576060361786,2,90.0,1278.41,0.737,547.16,AI,4,True,False,2,False,False,False,False,False,False,False,False,False,True,8,0.0,155721.8225817696
United States,2022,Mid,FT,Data Engineer,170000,100,M,70.4,41.7,142.3,56.6,77860.9112908848,12.04355959836804,2,170.0,2414.77,0.737,547.16,Engineering,2,False,True,2,False,False,False,False,False,False,False,False,False,True,4,2.0,155721.8225817696
United States,2022,Mid,FT,Data Engineer,150000,100,M,70.4,41.7,142.3,56.6,77860.9112908848,11.918397239722838,2,150.0,2130.68,0.737,547.16,Engineering,2,False,True,2,False,False,False,False,False,False,False,False,False,True,4,2.0,155721.8225817696
United States,2022,Senior,FT,Data Analyst,102100,100,M,70.4,41.7,142.3,56.6,77860.9112908848,11.533717798424087,3,102.1,1450.28,0.737,547.16,Analytics,3,False,True,2,False,False,False,False,False,False,False,False,False,True,9,3.0,155721.8225817696
United States,2022,Senior,FT,Data Analyst,84900,100,M,70.4,41.7,142.3,56.6,77860.9112908848,11.349241150793087,3,84.9,1205.97,0.737,547.16,Analytics,3,False,True,2,False,False,False,False,False,False,False,False,False,True,9,3.0,155721.8225817696
